word_id,word,sentence_id,sentence
48WUtsrvBYg_w,soothing,48WUtsrvBYg_e1,I put on some nice soothing music.
48WUtsrvBYg_w,soothing,48WUtsrvBYg_e2,Her words had a soothing effect.
48WUtsrvBYg_w,soothing,48WUtsrvBYg_e3,Her touch felt wonderfully soothing.
48WUtsrvBYg_w,soothing,48WUtsrvBYg_e4,Michelle spoke with a soothing Southern lilt.
bmqS93j8WJ8_w,capable,bmqS93j8WJ8_e1,We need to get an assistant who's capable and efficient.
bmqS93j8WJ8_w,capable,bmqS93j8WJ8_e2,She's a very capable lawyer.
bmqS93j8WJ8_w,capable,bmqS93j8WJ8_e3,I have some lurking doubts about whether Simon is really capable of doing this job.
U7QdFuJZyho_w,answer back,U7QdFuJZyho_e1,Her mother was shocked when she started ANSWERING her BACK and refusing to help.
U7QdFuJZyho_w,answer back,U7QdFuJZyho_e2,She was punished by teachers for answering back. 
U7QdFuJZyho_w,answer back,U7QdFuJZyho_e3,I always answered him back when I thought he was wrong. 
U7QdFuJZyho_w,answer back,U7QdFuJZyho_e4,I don't like children who answer back.
_bKPoTpqCjI_w,outpouring,_bKPoTpqCjI_e1,His death at the age of 35 has occasioned an outpouring of grief.
Zuk10Ula-LI_w,immaculate,Zuk10Ula-LI_e1,dressed in an immaculate white suit
Zuk10Ula-LI_w,immaculate,Zuk10Ula-LI_e2,He gave an immaculate performance.
Zuk10Ula-LI_w,immaculate,Zuk10Ula-LI_e3,My aunt's kitchen was always immaculate.
Zuk10Ula-LI_w,immaculate,Zuk10Ula-LI_e4,The first person writes a brilliant paper in immaculate prose.
c1KkkUmCbrM_w,petrified,c1KkkUmCbrM_e1,I stood petrified as the most enormous dog I've ever seen came bounding up to me.
c1KkkUmCbrM_w,petrified,c1KkkUmCbrM_e2,She's petrified of being on her own in the house at night.
c1KkkUmCbrM_w,petrified,c1KkkUmCbrM_e3,As soon as they got on the stage they were petrified with fright.  
c1KkkUmCbrM_w,petrified,c1KkkUmCbrM_e4,I've always been petrified of being alone.
pIMJHKULH9U_w,taunt,pIMJHKULH9U_e1,The other kids used to taunt him in the playground because he was fat and wore glasses.
SdOXUWQqbu0_w,adroit,SdOXUWQqbu0_e1,an adroit reaction/answer/movement of the hand 
SdOXUWQqbu0_w,adroit,SdOXUWQqbu0_e2,She became adroit at dealing with difficult questions. 
SdOXUWQqbu0_w,adroit,SdOXUWQqbu0_e3,She is a remarkably adroit and determined politician. 
SdOXUWQqbu0_w,adroit,SdOXUWQqbu0_e4,He soon became adroit at steering the boat.
TDztbIZLUPI_w,pat,TDztbIZLUPI_e1,I bent down to pat the little puppy.
IGjd6dWiXvE_w,manager,IGjd6dWiXvE_e1,She's very much a hands-on manager.
IGjd6dWiXvE_w,manager,IGjd6dWiXvE_e2,2.I've spoken to the manager about it.
IGjd6dWiXvE_w,manager,IGjd6dWiXvE_e3,3.He has filed his resignation with the manager.
IGjd6dWiXvE_w,manager,IGjd6dWiXvE_e4,My wife is an excellent manager.
Z30Ak743EEM_w,zap,Z30Ak743EEM_e1,Have I got time to zap into town and do some shopping?
6egMMBnQUbY_w,integrate,6egMMBnQUbY_e1,He seems to find it difficult to integrate socially.
6egMMBnQUbY_w,integrate,6egMMBnQUbY_e2,It's very difficult to integrate yourself into a society whose culture is so different from your own.
6egMMBnQUbY_w,integrate,6egMMBnQUbY_e3,Children are often very good at integrating into a new culture.
6egMMBnQUbY_w,integrate,6egMMBnQUbY_e4,The committee can integrate the different plans.
xnrRwCGEhDY_w,via - 2,xnrRwCGEhDY_e1,Reports are coming in via satellite.
MDCsV2GLVis_w,stance,MDCsV2GLVis_e1,The doctor's stance on the issue of abortion is well known. 
MDCsV2GLVis_w,stance,MDCsV2GLVis_e2,The governor's stance on the issue of tax cuts is well known. 
MDCsV2GLVis_w,stance,MDCsV2GLVis_e3,The government took a tough stance against terrorism. 
MDCsV2GLVis_w,stance,MDCsV2GLVis_e4,What is your stance on environmental issues?
gdERGK7LQP8_w,bewildered,gdERGK7LQP8_e1,The child was bewildered by the noise and the crowds.
gdERGK7LQP8_w,bewildered,gdERGK7LQP8_e2,She was totally bewildered by his message.
gdERGK7LQP8_w,bewildered,gdERGK7LQP8_e3,Many people feel bewildered by the speed of technological innovation.
gdERGK7LQP8_w,bewildered,gdERGK7LQP8_e4,"Arriving in a strange city at night, I felt alone and bewildered."
igs1Z9qDB1k_w,rescue,igs1Z9qDB1k_e1,The lifeboat rescued the sailors from the sinking boat.
igs1Z9qDB1k_w,rescue,igs1Z9qDB1k_e2,"They shouted for help, but nobody came to rescue them."
igs1Z9qDB1k_w,rescue,igs1Z9qDB1k_e3,Six people were rescued by helicopter from a fishing boat in distress off the Cornish coast.
igs1Z9qDB1k_w,rescue,igs1Z9qDB1k_e4,Firemen rescued a man trapped in the river
RIwfym39VVM_w,inhabitant,RIwfym39VVM_e3,It was so exciting to see that our bird box has some new inhabitants.
RIwfym39VVM_w,inhabitant,RIwfym39VVM_e4,"The first inhabitant of the farm was my great-grandfather, who built the"
oGNdvacriUo_w,remove,oGNdvacriUo_e1,She has been removed from her position as director. 
oGNdvacriUo_w,remove,oGNdvacriUo_e2,Remove them all and see if it makes a difference.
bRHRKa5R-bI_w,diplomacy,bRHRKa5R-bI_e1,Diplomacy has so far failed to bring an end to the fighting.
nfhqebRoL08_w,direct,nfhqebRoL08_e1,Tom took a direct to London airport.
nfhqebRoL08_w,direct,nfhqebRoL08_e2,Is there a direct train to Delhi from Chennai?
FvCq7gTlVpI_w,repine,FvCq7gTlVpI_e1,"She was alone and unloved, but she did not repine."
FvCq7gTlVpI_w,repine,FvCq7gTlVpI_e2,The soldiers repine for their families when they are stationed overseas.  
FvCq7gTlVpI_w,repine,FvCq7gTlVpI_e3,It does no good for you to repine at your unhappy lot.
FvCq7gTlVpI_w,repine,FvCq7gTlVpI_e4,The little girl began to cry when she started to repine for her family during her first sleepover.
PK8Xkko03cs_w,assure,PK8Xkko03cs_e1,She assured him (that) the car would be ready the next day.
PK8Xkko03cs_w,assure,PK8Xkko03cs_e2,The governor assured the voters (that) taxes would not be raised.
PK8Xkko03cs_w,assure,PK8Xkko03cs_e3,I assure you they'll be perfectly safe with us..
PK8Xkko03cs_w,assure,PK8Xkko03cs_e4,I assure you I was his enemy eight years ago.
PK8Xkko03cs_w,assure,PK8Xkko03cs_e5,"Well, I can assure you I won't run off when I see you."
Jr3c4UUVf0I_w,conclude,Jr3c4UUVf0I_e1,"It's a waste of time,' he concluded. "
Jr3c4UUVf0I_w,conclude,Jr3c4UUVf0I_e2,The concert concluded with the National Anthem.
Jr3c4UUVf0I_w,conclude,Jr3c4UUVf0I_e3,"Before I conclude, I'd like to thank you all for coming."
Jr3c4UUVf0I_w,conclude,Jr3c4UUVf0I_e4,The sales convention will conclude as planned on Sunday.
PsaESG5ARyc_w,surpass,PsaESG5ARyc_e1,"In 15 years, India will likely surpass China as the world's largest market."
PsaESG5ARyc_w,surpass,PsaESG5ARyc_e2,Young people surpass old men in strength.
PsaESG5ARyc_w,surpass,PsaESG5ARyc_e3,The director has really surpassed himself (= done better than he has done before) with this new film.
PsaESG5ARyc_w,surpass,PsaESG5ARyc_e4,Our team's achievements surpass those of teams in earlier years.
ZjGAKalxAYU_w,reflect,ZjGAKalxAYU_e1,The statistics reflect a change in people's spending habits.
ZjGAKalxAYU_w,reflect,ZjGAKalxAYU_e2,His blank face reflected his boredom.
ZjGAKalxAYU_w,reflect,ZjGAKalxAYU_e3,They argue that the membership of the Council does not reflect the racial make-up of the city.
ZjGAKalxAYU_w,reflect,ZjGAKalxAYU_e4,These subjects reflect their daily lives.
eMuNhD-cV_o_w,mental,eMuNhD-cV_o_e1,His mental abilities are very good.
qpxHigzHK9U_w,opportunity,qpxHigzHK9U_e1,I was never given the opportunity of going to college.
qpxHigzHK9U_w,opportunity,qpxHigzHK9U_e2,I had an opportunity to go to New York and study. 
qpxHigzHK9U_w,opportunity,qpxHigzHK9U_e3,She was given the opportunity to manage a day-care center.
qpxHigzHK9U_w,opportunity,qpxHigzHK9U_e4,Thank you for the opportunity to work with your company.
6sFJreYzn1c_w,persecutions,6sFJreYzn1c_e1,They fled to escape for persecution in Europe.
Q26Pd5kro4c_w,stumble,Q26Pd5kro4c_e1,"Running along the beach, she stumbled on a log and fell on the sand"
Q26Pd5kro4c_w,stumble,Q26Pd5kro4c_e2,"In the final straight Meyers stumbled, and although he didn't fall it was enough to lose him first place."
Q26Pd5kro4c_w,stumble,Q26Pd5kro4c_e3,we could hear her stumbling about/around the bedroom in the dark.
Q26Pd5kro4c_w,stumble,Q26Pd5kro4c_e4,He pulled on his clothes and stumbled into the kitchen.
T_Z98eebOH4_w,phenomenon,T_Z98eebOH4_e1,Gravity is a natural phenomenon.
T_Z98eebOH4_w,phenomenon,T_Z98eebOH4_e2,A rainbow is a natural phenomenon.
T_Z98eebOH4_w,phenomenon,T_Z98eebOH4_e3,There's evidence to suggest that child abuse is not just a recent phenomenon.
T_Z98eebOH4_w,phenomenon,T_Z98eebOH4_e4,This trend is certainly not a new phenomenon.
_dwG7oAYTWo_w,necessity,_dwG7oAYTWo_e1,Is there any necessity to reply to her letter?
_dwG7oAYTWo_w,necessity,_dwG7oAYTWo_e2,Water is a necessity of life because failure to drink water in three days will cause death.
_dwG7oAYTWo_w,necessity,_dwG7oAYTWo_e3,"You can come early if you want to, but there's no necessity for it."
_dwG7oAYTWo_w,necessity,_dwG7oAYTWo_e4,"In my work, a computer is a necessity."
vG5O-N2If4U_w,nevertheless,vG5O-N2If4U_e1,"I knew a lot about the subject already, but her talk was interesting nevertheless."
mwgNw0telVk_w,exit,mwgNw0telVk_e1,We headed for the nearest exit.
ilnQNJFBNao_w,revoke,ilnQNJFBNao_e1,Licenses can be revoked for up to five years.
ilnQNJFBNao_w,revoke,ilnQNJFBNao_e2,A testator can revoke his will at any time during his life.
ilnQNJFBNao_w,revoke,ilnQNJFBNao_e3,The university may revoke my diploma.
ilnQNJFBNao_w,revoke,ilnQNJFBNao_e4,You cannot revoke privileges for a single member of the group.
0YoN6sdJ84Y_w,pretend,0YoN6sdJ84Y_e1,She's not really hurt - she's only pretending.
0YoN6sdJ84Y_w,pretend,0YoN6sdJ84Y_e2,I used to pretend when I was young.
Ub7UcPJ2hLI_w,anarchy,Ub7UcPJ2hLI_e1,The country has been in a state of anarchy since the inconclusive election.
Ub7UcPJ2hLI_w,anarchy,Ub7UcPJ2hLI_e2,If the pay deal isn't settled amicably there'll be anarchy in the factories.
Ub7UcPJ2hLI_w,anarchy,Ub7UcPJ2hLI_e3,Civil war has led to anarchy.
Ub7UcPJ2hLI_w,anarchy,Ub7UcPJ2hLI_e4,The crowd was restless and verging on anarchy.
vWRDJTCpXa4_w,defamation,vWRDJTCpXa4_e1,He is suing for defamation of character.
vWRDJTCpXa4_w,defamation,vWRDJTCpXa4_e2,His lawyers filed four civil defamation cases against the company.
vWRDJTCpXa4_w,defamation,vWRDJTCpXa4_e3,Three journalists were charged with criminal defamation.
vWRDJTCpXa4_w,defamation,vWRDJTCpXa4_e4,The newspaper was sued for defamation after publishing lies about a celebrity.
jIpDX-xNPI4_w,zygote,jIpDX-xNPI4_e1,That one zygote cell divided to produce the first true chicken.
gFlhA6DWhFA_w,duly,gFlhA6DWhFA_e1,"He knew he had been wrong, and duly apologized."
pF4RDfnu2gs_w,vacate,pF4RDfnu2gs_e1,They have to vacate their offices before Wednesday.
pF4RDfnu2gs_w,vacate,pF4RDfnu2gs_e2,"When you vacate the room, you should hand over the door key to me."
pF4RDfnu2gs_w,vacate,pF4RDfnu2gs_e3,Guests should vacate their rooms by 10.30 a.m.
pF4RDfnu2gs_w,vacate,pF4RDfnu2gs_e4,"Under the conditions of the agreement, she must vacate the house on 12 July."
9BKcG6j7LDU_w,vain,9BKcG6j7LDU_e1,The doctors gave him more powerful drugs in the vain hope that he might recover.
9BKcG6j7LDU_w,vain,9BKcG6j7LDU_e2,We searched in vain for the missing child.
9BKcG6j7LDU_w,vain,9BKcG6j7LDU_e3,We tried in vain to make him change his mind.
9BKcG6j7LDU_w,vain,9BKcG6j7LDU_e4,They tried in vain to open the locked door.
I6_GW8TBU3E_w,agnostic,I6_GW8TBU3E_e1,"When I started out my career, I was an agnostic."
uc7UKq81JdM_w,advert,uc7UKq81JdM_e1,An advert for the local radio station
pkYmIpVgB2A_w,notion,pkYmIpVgB2A_e1,I have only a vague notion of what she does for a living.
gCeq77IenX4_w,proactive,gCeq77IenX4_e1,Companies are going to have to be more proactive   about environmental management.
gCeq77IenX4_w,proactive,gCeq77IenX4_e2,"Open and proactive, with good communication and presentation skills."
gCeq77IenX4_w,proactive,gCeq77IenX4_e3,I want our organization to be less reactive and more proactive.
gCeq77IenX4_w,proactive,gCeq77IenX4_e4,Create a proactive cultural awareness of risk issues at corporate and at  the individual level.
n9TDPKexXzw_w,equip,n9TDPKexXzw_e1,It's going to cost $4 million to equip the hospital.
mvsesnKooAA_w,estrangement,mvsesnKooAA_e1,The misunderstanding had caused a seven-year estrangement between them.
mvsesnKooAA_w,estrangement,mvsesnKooAA_e2,He talked about his estrangement from his family.
mvsesnKooAA_w,estrangement,mvsesnKooAA_e3,They finally came together after years of estrangement
mvsesnKooAA_w,estrangement,mvsesnKooAA_e4,They reunited after a two-year estrangement.
SuAbKSNQQVI_w,arbitrary,SuAbKSNQQVI_e1,Did you have a reason for choosing your destination or was it arbitrary?
u2-wesZwy0Y_w,noise,u2-wesZwy0Y_e1,Lots of people have complained about the noise.
oS9czmlqK6w_w,everywhere,oS9czmlqK6w_e1,His children go everywhere with him.
TcnFkuXDCIE_w,dishevelled,TcnFkuXDCIE_e1,He ran in looking dishevelled.
TcnFkuXDCIE_w,dishevelled,TcnFkuXDCIE_e2,a man with long dishevelled hair.
TcnFkuXDCIE_w,dishevelled,TcnFkuXDCIE_e3,"He looked tired, dishevelled and very pale."
TcnFkuXDCIE_w,dishevelled,TcnFkuXDCIE_e4,The wind dishevelled her hair and skirt.
j60L0ng_gGs_w,certain,j60L0ng_gGs_e1,The police seem certain (that) they will find the people responsible for the attack.
j60L0ng_gGs_w,certain,j60L0ng_gGs_e2,I'm absolutely certain I left my purse on the desk.
j60L0ng_gGs_w,certain,j60L0ng_gGs_e3,Make certain that we have enough drink for the party.
j60L0ng_gGs_w,certain,j60L0ng_gGs_e4,He's not certain whether to invest in the property market.
4RdjdI90j0M_w,pending,4RdjdI90j0M_e1,His application for citizenship was still pending.
y_zV7Qkiyeo_w,examination,y_zV7Qkiyeo_e1,I had to have a medical examination when I joined the pension
X2H5laZ8PFo_w,rancour,X2H5laZ8PFo_e1,"They cheated me, but I feel no rancour against them."
OULWYgqS9ek_w,forbid,OULWYgqS9ek_e1,The law forbids the sale of cigarettes to people under the age of 16. 
OULWYgqS9ek_w,forbid,OULWYgqS9ek_e2,Students are forbidden to smoke on the school grounds.
OULWYgqS9ek_w,forbid,OULWYgqS9ek_e3,"her parents forbid her from seeing her boyfriend, but she  snuck around and dated him anyway."
OULWYgqS9ek_w,forbid,OULWYgqS9ek_e4,"The teacher tried to forbid the students from using their cell phones, but they wouldn't listen to her."
yy5l6mYvqIg_w,fulfil,yy5l6mYvqIg_e1,"At the age of 45, she finally fulfilled her ambition to run a marathon."
yy5l6mYvqIg_w,fulfil,yy5l6mYvqIg_e2,He has failed to fulfill his duties as a father.
yy5l6mYvqIg_w,fulfil,yy5l6mYvqIg_e3,She doubts whether she'll ever be able to fulfill her ambition.
yy5l6mYvqIg_w,fulfil,yy5l6mYvqIg_e4,John was able to fulfil himself through writing.
rJvU_NOuwRA_w,cafe,rJvU_NOuwRA_e1,There's a little café on the corner that serves very good coffee.
W0LkToF-EPw_w,swamp,W0LkToF-EPw_e1,Huge volumes of fake designer brands have swamped the EU market.
YuqMCQusc9I_w,jerk,YuqMCQusc9I_e1,The car made a strange noise and then jerked to a halt.
YuqMCQusc9I_w,jerk,YuqMCQusc9I_e2,"""What's wrong?"" she asked, jerking her head up."
YuqMCQusc9I_w,jerk,YuqMCQusc9I_e3,The alarm went off and he woke up with a jerk.
YuqMCQusc9I_w,jerk,YuqMCQusc9I_e4,"Due to a sudden call, she jerked her phone down on the floor."
rLPUVyQVRb8_w,brainteaser,rLPUVyQVRb8_e1,The paper publishes two brainteasers every Saturday.
BH7-iBjng_8_w,underestimate - 2 ,BH7-iBjng_8_e1,Never underestimate your opponent!
_Tbcd3_o3-E_w,owing to,_Tbcd3_o3-E_e1,The concert has been cancelled owing to lack of interest.
_Tbcd3_o3-E_w,owing to,_Tbcd3_o3-E_e2,The performance has been canceled owing to the strike.
_Tbcd3_o3-E_w,owing to,_Tbcd3_o3-E_e3,Flight BA213 has been delayed owing to fog.
_Tbcd3_o3-E_w,owing to,_Tbcd3_o3-E_e4,The game was cancelled owing to torrential rain.
IsJNIZuIWrk_w,depict,IsJNIZuIWrk_e1,Her paintings depict the lives of ordinary people in the last century.
IsJNIZuIWrk_w,depict,IsJNIZuIWrk_e2,People were shocked by the advertisement which depicted a woman beating her husband
IsJNIZuIWrk_w,depict,IsJNIZuIWrk_e3,"Children's books often depict farmyard animals as gentle, lovable creatures."
IsJNIZuIWrk_w,depict,IsJNIZuIWrk_e4,In the film she's depicted as a very cold and calculating character.
VFVKBO9I0TA_w,alter,VFVKBO9I0TA_e1,She had to alter her clothes after losing weight.
VFVKBO9I0TA_w,alter,VFVKBO9I0TA_e2,We've had to alter some of our plans.
VFVKBO9I0TA_w,alter,VFVKBO9I0TA_e3,I took the coat back to the shop to have it altered.
VFVKBO9I0TA_w,alter,VFVKBO9I0TA_e4,She is trying to alter the coat.
vqIpNYvChdM_w,unreserved,vqIpNYvChdM_e1,I searched the pub for an unreserved table.
xPfNGGJqSaA_w,reconcile,xPfNGGJqSaA_e1,It is sometimes difficult to reconcile science and religion.
y3r4z0Pl-Fs_w,fetching,y3r4z0Pl-Fs_e1,a fetching off-the-shoulder dress
y3r4z0Pl-Fs_w,fetching,y3r4z0Pl-Fs_e2,You look very fetching in your green shorts.
y3r4z0Pl-Fs_w,fetching,y3r4z0Pl-Fs_e3,A new interstate just to the west has made the town more fetching.
y3r4z0Pl-Fs_w,fetching,y3r4z0Pl-Fs_e4,a fetching jacket/smile/hairstyle
3hAYTF2TKGc_w,redo,3hAYTF2TKGc_e1,These new measurements mean that I'll have to redo the calculations.
3hAYTF2TKGc_w,redo,3hAYTF2TKGc_e2,"He didn't get the golf ball in the cup, so he asked for a redo."
3hAYTF2TKGc_w,redo,3hAYTF2TKGc_e3,"He had to click the ""redo"" button to bring back the words he had deleted in error."
3hAYTF2TKGc_w,redo,3hAYTF2TKGc_e4,I want you to redo this exercise.
CTRMyQvvHgk_w,disturb,CTRMyQvvHgk_e1,Please don't disturb your sister - she's trying to do her homework.
CTRMyQvvHgk_w,disturb,CTRMyQvvHgk_e2,"""Don't disturb me again, "" she said in an irritable voice."
CTRMyQvvHgk_w,disturb,CTRMyQvvHgk_e3,"I'm sorry to disturb you so late, but my car's broken down and I don't have my phone with me."
CTRMyQvvHgk_w,disturb,CTRMyQvvHgk_e4,Please don't disturb me while I'm working.
SZa4F8UXb5I_w,phenomenal,SZa4F8UXb5I_e1,Angela can do a phenomenal amount of work in one day.
SZa4F8UXb5I_w,phenomenal,SZa4F8UXb5I_e2,He has a phenomenal memory.
SZa4F8UXb5I_w,phenomenal,SZa4F8UXb5I_e3,Mumbai has experienced a phenomenal growth in population.
SZa4F8UXb5I_w,phenomenal,SZa4F8UXb5I_e4,The product has been a phenomenal success.
SZa4F8UXb5I_w,phenomenal,SZa4F8UXb5I_e5,He has learned a phenomenal amount in the last two years.
0u6f9dxpCAI_w,minister,0u6f9dxpCAI_e1,"The matter is closed, "" said the health minister."
WAzBIGcdzSY_w,startle,WAzBIGcdzSY_e1,She was concentrating on her book and his voice startled her.
WAzBIGcdzSY_w,startle,WAzBIGcdzSY_e2,The noise of the car startled the birds and the whole flock flew up into the air.
WAzBIGcdzSY_w,startle,WAzBIGcdzSY_e3,Her article on diet startled many people into changing their eating habits.
WAzBIGcdzSY_w,startle,WAzBIGcdzSY_e4,She startled him when she said hello.
Ihhwph3nCnI_w,urge,Ihhwph3nCnI_e1,The urge to steal is very strong in some of these young men.
Ihhwph3nCnI_w,urge,Ihhwph3nCnI_e2,I can never resist the urge to laugh.
Ihhwph3nCnI_w,urge,Ihhwph3nCnI_e3,I had a sudden urge to slap him in the face.
Ihhwph3nCnI_w,urge,Ihhwph3nCnI_e4,She felt an overwhelming urge to tell someone about what had happened.
F7hqMlZEL_E_w,choke up,F7hqMlZEL_E_e1,When I watch the tape of his Olympic victory I still choke up.
F7hqMlZEL_E_w,choke up,F7hqMlZEL_E_e2,He admits he choked up a little at the end.
F7hqMlZEL_E_w,choke up,F7hqMlZEL_E_e3,His new car chokes up every time the weather gets cold.
F7hqMlZEL_E_w,choke up,F7hqMlZEL_E_e4,She is so emotional that she chokes up every time someone dies in a movie.
MFZJTpIvwio_w,nearby,MFZJTpIvwio_e1,I noticed a policeman standing nearby
u4P-ICTxQdU_w,ravenous,u4P-ICTxQdU_e1,I think they are afraid that the bears will be ravenous and ready to eat people.
Fpg5dgFQofk_w,each,Fpg5dgFQofk_e1,There are five leaflets - please take one of each.
6DqUWmPTkHI_w,leave,6DqUWmPTkHI_e1,I will be leaving at five o'clock tomorrow.
6DqUWmPTkHI_w,leave,6DqUWmPTkHI_e2,The bus leaves in ten minutes.
8pwnTDtKBE0_w,towards ,8pwnTDtKBE0_e1,They've always been very friendly towards me.
h3gikil15a4_w,neighborhood,h3gikil15a4_e1,There were lots of kids in my neighborhood when I was growing up.
2H-t8bYQGUE_w,flexible,2H-t8bYQGUE_e1,My work time is flexible. 
2H-t8bYQGUE_w,flexible,2H-t8bYQGUE_e2,You should learn to be flexible. 
2H-t8bYQGUE_w,flexible,2H-t8bYQGUE_e3,We should use our resources in a flexible way. 
2H-t8bYQGUE_w,flexible,2H-t8bYQGUE_e4,We need to make the working day more flexible
uVSqiNJCpLc_w,nominate,uVSqiNJCpLc_e1,He's been nominated by the Congress Party as their candidate in the next election.
vlRgT4SgD_s_w,ambiguous,vlRgT4SgD_s_e1,His reply to my question was somewhat ambiguous.
vlRgT4SgD_s_w,ambiguous,vlRgT4SgD_s_e2,The wording of the agreement is ambiguous.
vlRgT4SgD_s_w,ambiguous,vlRgT4SgD_s_e3,The government has been ambiguous on this issue.
vlRgT4SgD_s_w,ambiguous,vlRgT4SgD_s_e4,His attitude to environmental issues was sometimes quite ambiguous
BsarjXadUR0_w,laugh at,BsarjXadUR0_e1,He was afraid that the other kids would laugh at him.
BsarjXadUR0_w,laugh at,BsarjXadUR0_e2,She thinks people will laugh at her if she sings.
BsarjXadUR0_w,laugh at,BsarjXadUR0_e3,I'm not wearing that hat - people will laugh at me.
BsarjXadUR0_w,laugh at,BsarjXadUR0_e4,Jenny had to laugh at her own foolishness
